Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,SMA50,SMA200,RSI14,ATR14,cross_above_50,entry_signal,exit_signal
1564272000000,2019-07-28,BTCUSDT,9478.92,9594.99,9165.0,9541.54,29401.022937,278537286.1348134,271327,10369.635400000001,6334.214349999999,42.301768977032694,788.8731297130154,False,False,True
1564358400000,2019-07-29,BTCUSDT,9541.54,9729.0,9395.0,9507.64,29021.937411,277497756.7684168,294468,10407.2256,6363.82315,42.02218098500374,756.3821918763715,False,False,True
1564444800000,2019-07-30,BTCUSDT,9509.07,9714.28,9402.0,9574.21,32536.368834,310867928.28793913,283961,10439.0548,6393.68765,42.82138409724384,724.6606067423451,False,False,True
1564531200000,2019-07-31,BTCUSDT,9575.0,10109.8,9555.0,10080.53,39515.35456,389690761.44466114,364212,10482.9674,6426.174650000001,48.62235509396985,712.5277062607489,False,False,True
1564617600000,2019-08-01,BTCUSDT,10080.53,10467.86,9863.46,10374.99,41727.637028,422156523.6690079,378062,10527.9144,6460.665550000001,51.69189288617827,704.8042986706955,False,False,True
1564704000000,2019-08-02,BTCUSDT,10375.0,10670.0,10281.35,10523.75,42990.444221,450323284.1507597,431322,10574.0186,6495.15385,53.21269045487878,682.2218487656459,False,False,True
1564790400000,2019-08-03,BTCUSDT,10523.75,10904.77,10497.93,10816.86,33802.318824,363852799.8717801,348893,10617.355800000001,6531.472849999999,56.14240527618552,662.551716710957,True,True,False
1564876800000,2019-08-04,BTCUSDT,10816.86,11040.0,10552.0,10929.23,39924.745141,431793873.4232976,353721,10659.766399999999,6568.159799999999,57.24765805315648,650.0837369458886,False,False,False
1564963200000,2019-08-05,BTCUSDT,10929.99,11937.52,10927.8,11828.8,65153.673713,757976547.217046,622610,10717.275800000001,6609.22275,64.87830756602469,675.7720414497538,False,False,False
1565049600000,2019-08-06,BTCUSDT,11830.0,12330.7,11226.7,11481.69,76705.389875,904119081.6157126,625827,10760.6304,6648.656849999999,60.39864177887981,706.3597527747714,False,False,False
1565136000000,2019-08-07,BTCUSDT,11481.69,12141.17,11382.84,11975.03,69173.390353,814597979.050504,592916,10818.5,6690.205499999999,64.18384302039789,710.0719132908592,False,False,False
1565222400000,2019-08-08,BTCUSDT,11975.04,12060.0,11521.0,11999.77,51207.257174,604389131.062836,473584,10873.385600000001,6732.507949999999,64.36777611181735,697.8524909129408,False,False,False
1565308800000,2019-08-09,BTCUSDT,11994.17,12045.68,11700.0,11879.99,39427.152588,467011047.9414285,410902,10920.643,6774.2734,62.68919295479598,672.6973129905879,False,False,False
1565395200000,2019-08-10,BTCUSDT,11879.98,11985.0,11270.0,11309.31,42633.087048,492217964.4905557,399237,10943.632000000001,6812.9653,55.29105748051923,675.7189334912601,False,False,False
1565481600000,2019-08-11,BTCUSDT,11309.24,11600.0,11112.11,11549.97,26772.90691,304862403.351449,306234,10960.041400000002,6852.95105,57.56534923308521,662.3025810990273,False,False,False
1565568000000,2019-08-12,BTCUSDT,11539.08,11577.89,11235.32,11396.08,17568.227075,200325471.60414097,255966,10969.8416,6892.083350000001,55.61707063410456,639.4645395919539,False,False,False
1565654400000,2019-08-13,BTCUSDT,11398.35,11456.16,10788.45,10892.71,33234.72968,368994475.5461124,337834,10966.563999999998,6928.720450000001,49.69267681174538,641.4820724782428,False,False,True
